City,State,Error,Total foreign born,Africa,"Asia (except China, Japan, and India)",Atlantic Islands,Australia,Austria,Belgium,Bohemia,Canada (English),Canada (French),Central America,China,Cuba,Denmark,England,Europe (not otherwise specified),Finland,France,Germany,Greece,Holland,Hungary,India,Ireland,Italy,Japan,Luxemburg,Mexico,Norway,Pacific Islands (except Phillipine Islands),Poland (Austrian),Poland (German),Poland (Russian),Poland (unknown),Portugal,Roumania,Russia,Scotland,South America,Spain,Sweden,Switzerland,Turkey,Wales,West Indies (except Cuba and Puerto Rico),Other countries,Born at sea
Rockford,Illinois,-85,"9,337",1,,1,1,17,1,4,207,28,,4,1,102,491,,5,14,565,18,6,3,,524,102,,,,129,,,,2,2,,,24,209,1,53,"6,690",21,,21,,1,4
Sacramento,California,-60,"6,723",1,,25,31,74,8,1,446,52,1,904,3,101,655,,1,108,"1,371",7,19,7,,"1,293",267,337,,41,45,4,1,3,9,6,189,,28,147,27,7,173,228,2,26,5,1,9
Saginaw,Michigan,50,"11,435",2,5,,1,55,5,116,"3,452",860,28,1,,87,647,,7,34,"4,683",,10,34,,568,97,,,,12,2,11,118,121,1,1,,45,296,1,,58,60,5,40,5,3,14
St. Joseph,Missouri,55,"8,424",,9,,5,293,7,25,448,78,,7,1,92,632,9,1,109,"3,566",2,13,19,,"1,241",146,,1,7,42,1,17,43,21,30,,10,627,152,1,4,358,348,10,82,2,2,18
St. Louis,Missouri,-85,"111,356",19,199,7,62,"2,568",216,"2,500","2,151",339,52,304,23,390,"5,800",17,30,"1,462","58,781",38,368,561,16,"19,421","2,227",4,2,76,172,11,322,"1,192","1,248",95,6,80,"4,785","1,264",49,32,"1,116","2,752",42,238,71,31,132
St. Paul,Minnesota,-50,"46,819",10,103,1,11,"1,488",40,"1,343","3,557","1,015",4,80,3,"1,206","2,005",2,51,289,"12,935",16,122,659,13,"4,802",529,6,57,4,"2,900",6,43,760,277,101,,52,987,673,9,7,"9,852",492,89,70,7,65,28
Salem,Massachusetts,50,"10,902",1,,3,1,25,1,,"1,585","4,003",,86,,16,379,,27,25,71,12,1,,,"3,476",84,1,,,11,2,252,30,312,2,6,,229,103,4,1,151,2,34,10,1,3,2
Salt Lake City,Utah,10,"12,741",22,3,,53,28,12,5,410,36,4,196,,965,"5,157",,8,80,968,1,57,11,12,442,102,23,,4,502,29,4,2,24,2,1,1,78,912,,4,"1,687",353,2,517,8,11,15
San Antonio,Texas,6,"9,348",3,24,1,8,200,70,16,134,29,24,52,7,60,723,11,1,213,"3,031",11,6,35,2,473,264,4,,"3,288",19,2,2,59,21,18,,2,155,99,6,22,49,160,5,7,23,6,9
San Francisco,California,-90,"116,885",59,88,86,"1,006","1,841",291,197,"4,770",429,198,"10,762",23,"2,171","8,956",20,935,"4,870","35,194",199,244,315,65,"15,963","7,508","1,852",15,"1,459","2,172",317,29,109,538,110,530,51,"1,511","3,000",370,235,"5,248","2,085",120,386,167,192,109
Savannah,Georgia,5,"3,434",2,44,2,1,60,6,4,120,13,1,45,17,23,316,14,6,58,980,109,12,40,5,865,56,,,,68,1,,4,34,5,3,11,280,78,4,39,43,10,5,5,44,1,5
Schenectady,New York,20,"7,169",1,1,5,,74,,8,282,157,4,18,7,60,632,,1,18,"2,316",11,12,69,8,"1,103",607,5,,1,11,,61,305,734,25,,,137,242,8,8,136,81,8,20,2,6,5
Scranton,Pennsylvania,5,"28,978",5,117,,4,829,2,63,251,30,16,10,1,9,"3,692",,2,99,"4,704",1,4,561,,"7,198","1,312",2,1,1,6,2,523,659,"2,510",58,1,17,671,576,8,8,114,206,62,"4,621",1,15,11
Seattle,Washington,6,"22,003",18,15,3,53,328,72,15,"3,531",255,8,366,1,641,"2,318",1,424,258,"2,735",44,78,34,11,"1,576",362,"3,091",1,24,"1,642",41,2,5,59,18,6,11,309,810,26,17,"2,379",141,17,201,17,19,26
Sioux City,Iowa,60,"6,592",,22,,2,73,8,34,458,163,,8,,369,452,,1,87,"1,176",1,69,8,8,638,35,1,14,1,"1,054",1,1,,6,1,,8,273,129,2,7,"1,460",56,5,13,,1,7
Somerville,Massachusetts,55,"17,232",2,4,52,2,47,3,45,"6,400",610,4,57,2,64,"1,321",,2,63,399,3,8,3,,"5,542",590,,,1,94,,9,22,31,86,238,3,262,576,11,12,556,18,24,87,25,2,7
South Bend,Indiana,100,"8,601",,,,,49,411,8,308,113,,15,,70,211,,6,37,"2,402",4,14,733,1,236,19,,2,,49,,68,"2,763",309,81,,,40,55,,55,549,82,,1,,,10
South Omaha,Nebraska,65,"5,607",,1,,7,261,8,"1,118",229,23,,9,,280,179,,3,29,"1,228",,17,6,1,"1,078",6,,,,62,,69,131,72,51,,5,127,81,1,1,469,87,,28,,1,4
Spokane,Washington,65,"7,833",6,4,,10,114,10,25,"1,688",138,4,309,1,200,701,1,82,100,"1,326",3,24,19,5,540,135,51,,9,570,9,,6,7,1,1,,140,285,1,1,"1,168",108,4,72,4,8,8
Springfield,Illinois,10,"4,654",1,44,68,20,61,10,8,138,11,,7,1,19,499,1,,24,"1,940",5,22,19,1,"1,106",47,,,2,45,,,1,86,8,51,10,107,105,,,87,42,11,38,10,,9
Springfield,Massachusetts,50,"14,381",1,135,2,6,82,6,19,"1,144","2,474",2,45,2,12,"1,186",,8,64,812,11,9,9,3,"5,462",750,3,,,23,1,114,7,87,2,2,11,572,620,14,3,600,72,21,19,16,,
Springfield,Ohio,6,"3,311",1,6,,4,36,2,,129,11,1,4,,9,308,,,20,"1,337",5,8,12,,"1,097",77,,,,4,,,,6,1,2,,50,87,,1,22,56,,15,2,,4
Superior,Wisconsin,5,"11,419",,,,2,45,139,23,"2,404",475,,10,2,236,419,,378,28,801,,17,45,1,632,6,,1,,"2,026",,13,110,131,67,,4,279,209,,,"2,854",44,,10,8,,5
Syracuse,New York,-20,"23,757",2,47,4,4,142,23,9,"2,393",562,1,27,2,48,"2,383",1,2,187,"7,865",1,19,124,4,"5,717","1,282",1,,8,13,2,93,168,"1,135",9,8,3,732,307,11,1,90,201,12,65,8,1,20
Tacoma,Washington,48,"11,032",2,4,1,28,298,12,50,"1,534",117,,263,,352,"1,323",17,97,87,"1,424",,34,24,5,714,187,620,1,7,"1,474",10,2,5,22,5,10,2,72,378,11,7,"1,603",126,85,42,14,1,10
Tauntori,Massachusetts,-20,"9,140",2,2,490,,18,2,4,801,"2,366",,18,,5,"1,144",,1,18,184,9,1,1,,"2,814",23,,,,8,1,228,,54,13,486,,76,283,6,1,42,1,,12,1,4,1
Terre Haute,Indiana,60,"2,952",,1,,,33,1,6,61,15,1,7,3,7,234,6,1,87,"1,555",8,46,1,,671,12,1,,,8,,,,23,,,1,58,60,,,17,56,,24,,,8
Toledo,Ohio,1,"27,822",,61,,2,275,49,15,"2,449",846,3,25,8,97,"1,636",9,,248,"12,373",20,51,647,5,"2,684",70,,13,2,45,1,52,"3,824",528,71,3,,516,256,2,7,112,698,11,78,2,3,26
Topeka,Kansas,60,"3,201",3,,,7,20,1,14,204,22,,8,,20,512,,1,46,702,10,18,5,1,320,1,,,8,87,,,2,6,3,3,,407,144,3,,575,40,,66,1,,1
Trentoi,New Jersey,-55,"16,793",3,3,4,8,235,7,20,148,89,3,51,9,47,"3,621",1,2,52,"4,114",2,18,"1,494",2,"3,292","1,337",1,,2,4,2,72,194,468,74,,1,701,426,4,,94,57,2,49,15,4,6
Troy,New York,44,"14,884",1,7,2,1,80,19,12,692,663,5,21,1,55,"1,498",1,,71,"1,796",1,21,13,6,"7,348",465,2,,2,3,1,91,14,74,84,1,4,559,870,5,4,75,61,186,89,16,,8
Utica,New York,5,"13,470",2,50,,11,205,2,3,632,106,1,2,2,63,"1,474",,,154,"3,696",8,18,35,1,"2,548","1,661",,,,3,,30,98,725,74,1,,197,213,,,17,249,7,"1,165",6,2,14
Washington,District of Columbia,100,"20,119",26,29,6,19,187,32,12,809,97,32,417,43,88,"2,299",7,14,389,"5,857",34,42,48,12,"6,220",980,11,,38,101,2,2,11,106,13,6,2,807,574,49,31,234,244,89,82,91,6,21
Waterbury,Connecticut,0,"15,368",,45,5,5,113,17,16,489,"1,777",104,50,,38,938,,1,149,"1,195",7,1,44,,"5,866","2,007",,,,11,,7,1,277,12,1,3,"1,265",386,2,1,397,72,13,44,5,,4
Wheeling,West Virginia,50,"5,461",,40,,,98,4,5,42,12,,8,,18,648,,,61,"3,106",8,3,15,,876,42,,,1,2,,26,59,47,,,,36,96,1,1,10,51,,186,1,,8
Wilkesbarre,Pennsylvania,-10,"12,188",1,26,1,14,237,1,19,91,12,13,4,1,15,"1,578",,,34,"2,792",1,4,304,1,"2,034",189,,,,14,1,429,176,"1,000",27,,,469,257,4,1,192,81,9,"2,083",1,52,10
Williamsport,Pennsylvania,5,"2,228",1,,,,4,,2,100,67,1,2,,6,203,5,,30,"1,089",,,7,,425,67,,,2,5,,,,10,17,,2,18,61,,,52,25,8,15,8,,1
Wilmington,Delaware,55,"10,478",7,8,1,9,88,4,3,133,35,2,28,4,31,998,41,23,66,"1,762",12,68,51,,"3,820",703,1,74,,15,1,105,436,948,11,,5,338,272,2,2,261,45,2,87,17,4,10
Woonsocket,Rhode Island,5,"12,518",1,15,,1,52,64,,577,"8,696",,13,,3,687,,52,105,74,2,4,16,1,"1,582",27,,,,2,,117,,28,14,2,,162,131,8,,45,7,25,7,2,,1
Worcester,Massachusetts,10,"37,652",1,192,11,12,103,20,1,"3,168","5,204",15,103,2,153,"2,615",2,"1,143",88,626,13,8,4,4,"11,620",595,1,,,269,1,43,30,"1,173",39,2,15,"1,348",714,8,2,"7,542",21,614,40,38,55,4
Yonkers,New York,65,"14,634",2,26,4,7,"1,032",6,23,285,86,2,50,8,81,"1,531",1,6,151,"1,819",3,62,"1,387",6,"5,229",898,,,2,46,1,209,65,186,20,,2,428,572,2,2,289,75,18,45,19,4,9
York,Pennsylvania,5,"1,304",2,2,,,64,1,,17,1,2,2,2,,94,6,,27,870,,1,26,1,62,13,,,,1,1,,,6,,,1,43,25,,1,10,18,1,7,1,,1
Youngstown,Ohio,5,"12,207",,7,1,4,492,,,293,9,,10,,27,"2,278",1,28,32,"1,632",11,4,"1,031",8,"2,124","1,331",,,1,14,,52,6,132,3,,1,166,675,2,,343,74,58,"1,351",3,,8
